Symbol,Date      ,Close    ,High   ,Low    ,Open   ,Volume
SPX   ,2010-11-22,1197.8437,       ,       ,       ,0
SPX   ,2010-11-23,1180.7273,       ,       ,       ,0
SPX   ,2010-11-24,1198.3538,       ,       ,       ,0
SPX   ,2010-11-25,1198.3538,       ,       ,       ,0
SPX   ,2010-11-26,1189.4038,       ,       ,       ,0
SPX   ,2010-11-29,1187.7615,       ,       ,       ,0
SPX   ,2010-11-30,1180.553 ,       ,       ,       ,0
SPX   ,2010-12-01,1206.068 ,       ,       ,       ,0
SPX   ,2010-12-02,1221.5317,       ,       ,       ,0
SPX   ,2010-12-03,1224.7077,       ,       ,       ,0
SPX   ,2010-12-06,1223.1216,       ,       ,       ,0
SPX   ,2010-12-07,1223.7464,       ,       ,       ,0
SPX   ,2010-12-08,1228.2841,       ,       ,       ,0
SPX   ,2010-12-09,1232.9977,       ,       ,       ,0
SPX   ,2010-12-10,1240.3977,       ,       ,       ,0
SPX   ,2010-12-13,1240.4598,       ,       ,       ,0
SPX   ,2010-12-14,1241.5889,       ,       ,       ,0
SPX   ,2010-12-15,1235.2331,       ,       ,       ,0
SPX   ,2010-12-16,1242.8701,       ,       ,       ,0
SPX   ,2010-12-17,1243.9073,       ,       ,       ,0
SPX   ,2010-12-20,1247.0777,       ,       ,       ,0
SPX   ,2010-12-21,1254.6004,       ,       ,       ,0
SPX   ,2010-12-22,1258.8371,       ,       ,       ,0
SPX   ,2010-12-23,1256.7716,       ,       ,       ,0
SPX   ,2010-12-24,1256.7716,       ,       ,       ,0
SPX   ,2010-12-27,1257.5365,       ,       ,       ,0
SPX   ,2010-12-28,1258.5136,       ,       ,       ,0
SPX   ,2010-12-29,1259.7828,       ,       ,       ,0
SPX   ,2010-12-30,1257.8841,       ,       ,       ,0
SPX   ,2010-12-31,1257.636 ,       ,       ,       ,0
SPX   ,2011-01-03,1271.8699,       ,       ,       ,0
SPX   ,2011-01-04,1270.1964,       ,       ,       ,0
SPX   ,2011-01-05,1276.5635,       ,       ,       ,0
SPX   ,2011-01-06,1273.8521,       ,       ,       ,0
SPX   ,2011-01-07,1271.5024,       ,       ,       ,0
SPX   ,2011-01-10,1269.7529,       ,       ,       ,0
SPX   ,2011-01-11,1274.4823,       ,       ,       ,0
SPX   ,2011-01-12,1285.9552,       ,       ,       ,0
SPX   ,2011-01-13,1283.7587,       ,       ,       ,0
SPX   ,2011-01-14,1293.245 ,       ,       ,       ,0
SPX   ,2011-01-17,1293.245 ,       ,       ,       ,0
SPX   ,2011-01-18,1295.0195,       ,       ,       ,0
SPX   ,2011-01-19,1281.9177,       ,       ,       ,0
SPX   ,2011-01-20,1280.2568,       ,       ,       ,0
SPX   ,2011-01-21,1283.3467,       ,       ,       ,0
SPX   ,2011-01-24,1290.8355,       ,       ,       ,0
SPX   ,2011-01-25,1291.1799,       ,       ,       ,0
SPX   ,2011-01-26,1296.6331,       ,       ,       ,0
SPX   ,2011-01-27,1299.5409,       ,       ,       ,0
SPX   ,2011-01-28,1276.3435,       ,       ,       ,0
SPX   ,2011-01-31,1286.1209,       ,       ,       ,0
SPX   ,2011-02-01,1307.5918,       ,       ,       ,0
SPX   ,2011-02-02,1304.0292,       ,       ,       ,0
SPX   ,2011-02-03,1307.1022,       ,       ,       ,0
SPX   ,2011-02-04,1310.8702,       ,       ,       ,0
SPX   ,2011-02-07,1319.052 ,       ,       ,       ,0
SPX   ,2011-02-08,1324.5731,       ,       ,       ,0
SPX   ,2011-02-09,1320.8789,       ,       ,       ,0
SPX   ,2011-02-10,1321.8684,       ,       ,       ,0
SPX   ,2011-02-11,1329.1456,       ,       ,       ,0
SPX   ,2011-02-14,1332.322 ,       ,       ,       ,0
SPX   ,2011-02-15,1328.0137,       ,       ,       ,0
SPX   ,2011-02-16,1336.322 ,       ,       ,       ,0
SPX   ,2011-02-17,1340.4265,       ,       ,       ,0
SPX   ,2011-02-18,1343.0135,       ,       ,       ,0
SPX   ,2011-02-21,1343.0135,       ,       ,       ,0
SPX   ,2011-02-22,1315.4446,       ,       ,       ,0
SPX   ,2011-02-23,1307.3982,       ,       ,       ,0
SPX   ,2011-02-24,1306.0994,       ,       ,       ,0
SPX   ,2011-02-25,1319.8827,       ,       ,       ,0
SPX   ,2011-02-28,1327.2242,       ,       ,       ,0
SPX   ,2011-03-01,1306.3315,       ,       ,       ,0
SPX   ,2011-03-02,1308.44  ,       ,       ,       ,0
SPX   ,2011-03-03,1330.9685,       ,       ,       ,0
SPX   ,2011-03-04,1321.1529,       ,       ,       ,0
SPX   ,2011-03-07,1310.1307,       ,       ,       ,0
SPX   ,2011-03-08,1321.8181,       ,       ,       ,0
SPX   ,2011-03-09,1320.0248,       ,       ,       ,0
SPX   ,2011-03-10,1295.1062,       ,       ,       ,0
SPX   ,2011-03-11,1304.2813,       ,       ,       ,0
SPX   ,2011-03-14,1296.3878,       ,       ,       ,0
SPX   ,2011-03-15,1281.8718,       ,       ,       ,0
SPX   ,2011-03-16,1256.8764,       ,       ,       ,0
SPX   ,2011-03-17,1273.7153,       ,       ,       ,0
SPX   ,2011-03-18,1279.205 ,       ,       ,       ,0
SPX   ,2011-03-21,1298.3831,       ,       ,       ,0
SPX   ,2011-03-22,1293.7694,       ,       ,       ,0
SPX   ,2011-03-23,1297.5432,       ,       ,       ,0
SPX   ,2011-03-24,1309.6606,       ,       ,       ,0
SPX   ,2011-03-25,1313.8021,       ,       ,       ,0
SPX   ,2011-03-28,1310.1934,       ,       ,       ,0
SPX   ,2011-03-29,1319.4432,       ,       ,       ,0
SPX   ,2011-03-30,1328.26  ,       ,       ,       ,0
SPX   ,2011-03-31,1325.8267,       ,       ,       ,0
SPX   ,2011-04-01,1332.4131,       ,       ,       ,0
SPX   ,2011-04-04,1332.8739,       ,       ,       ,0
